age,is_male,race,ownes_house,employment_status,employment_income,non_employment_income,treatment,expenditure
18,1,Asian,1,0,0.0,12000.0,0,8156.3
18,0,Black,0,0,0.0,12000.0,0,9915.55
32,0,White,1,1,99157.9,0.0,0,83903.93
33,1,Hispanic,1,0,0.0,10000.0,1,11803.33
43,0,White,0,1,124127.2,0.0,1,123086.25
41,0,White,0,1,124054.4,0.0,0,102500.4
18,1,Black,1,0,0.0,0.0,0,2539.73
33,0,Hispanic,0,0,0.0,12000.0,0,10234.99
31,1,White,0,1,96751.6,0.0,0,76792.22
62,0,Black,0,1,174937.1,12000.0,0,136560.9
29,1,Asian,0,1,92905.1,5000.0,0,74706.2
43,0,Asian,0,1,124210.2,10000.0,0,103534.71
18,0,Hispanic,0,0,0.0,1000.0,0,3577.66
18,1,Hispanic,1,1,67236.3,0.0,0,53647.27
35,0,White,1,1,100796.1,10000.0,1,78631.25
30,0,White,0,1,97321.4,0.0,0,73498.91
18,1,Black,1,1,66796.7,1000.0,0,50990.65
18,1,White,0,0,0.0,12000.0,0,14231.5
42,1,Black,1,1,124913.3,0.0,0,88084.44
18,0,White,0,1,60026.0,0.0,0,47223.47
23,1,Black,0,1,74378.9,0.0,1,58239.29
36,1,Hispanic,1,1,108054.7,0.0,0,89062.8
24,0,Black,1,0,0.0,0.0,0,2323.39
33,1,Asian,0,1,94744.1,0.0,0,70916.2
18,0,White,0,1,56357.4,0.0,0,43849.76
18,1,White,1,1,66104.0,0.0,0,54635.58
28,1,White,0,0,0.0,0.0,0,2188.79
18,1,White,0,0,0.0,0.0,0,2679.04
24,0,Asian,0,1,75204.1,10000.0,0,60148.85
32,0,White,0,1,98363.2,0.0,0,80241.65
18,1,Other,0,0,0.0,1000.0,0,3830.21
25,0,Black,0,0,0.0,12000.0,0,12883.86
18,1,White,0,0,0.0,10000.0,1,11367.7
18,1,Hispanic,0,0,0.0,0.0,1,3503.53
38,1,White,0,1,114700.9,0.0,0,82208.5
36,0,White,0,1,102328.8,5000.0,0,82016.57
42,0,White,0,1,123797.6,12000.0,0,93513.73
47,1,Black,0,1,139971.1,12000.0,0,120083.86
21,1,White,0,0,0.0,0.0,0,2488.47
18,0,White,1,1,61960.7,0.0,0,48500.57
18,0,White,0,1,63806.4,12000.0,0,53751.11
18,0,White,0,1,61651.1,10000.0,0,50581.4
18,1,Black,0,1,62350.2,0.0,0,48530.23
18,1,White,0,1,68558.8,12000.0,1,65702.18
18,1,White,0,0,0.0,0.0,1,2606.24
18,0,White,0,1,58722.9,12000.0,0,48442.55
18,1,White,0,0,0.0,0.0,1,2790.05
49,1,Asian,0,1,138487.8,0.0,1,135851.12
26,0,Hispanic,0,1,89451.9,10000.0,0,73696.98
48,0,White,1,1,137937.8,1000.0,0,109584.38
18,1,Hispanic,0,1,68191.4,0.0,0,53530.85
18,1,Asian,0,0,0.0,0.0,0,2429.88
18,0,Black,1,1,60449.7,10000.0,0,47705.08
48,0,White,0,1,139250.4,1000.0,0,103438.94
18,1,White,0,1,68408.0,12000.0,0,56315.34
21,0,White,0,0,0.0,12000.0,0,15939.48
23,1,Hispanic,0,0,0.0,12000.0,0,9595.94
18,0,Asian,0,1,66875.0,0.0,0,51800.79
18,0,Asian,0,0,0.0,12000.0,0,12671.91
32,1,Hispanic,1,1,100791.9,5000.0,1,72210.99
18,1,White,1,0,0.0,12000.0,1,10798.58
70,0,Black,1,1,198645.2,0.0,0,144497.94
34,0,White,0,0,0.0,0.0,0,2237.41
18,1,White,0,1,62688.2,0.0,1,50503.36
70,0,Black,1,1,186534.8,12000.0,0,156085.12
30,1,Black,0,0,0.0,0.0,0,2615.83
18,0,White,0,1,66179.2,0.0,1,45320.87
18,0,White,1,1,60981.4,0.0,0,46839.18
40,0,Hispanic,1,1,123116.4,1000.0,0,94561.4
32,0,White,0,1,97619.5,10000.0,0,79711.85
28,0,Asian,1,1,88948.1,0.0,0,67107.16
52,1,Asian,1,0,0.0,0.0,0,2700.57
70,0,Hispanic,1,1,191054.4,12000.0,0,128928.74
18,1,Black,0,0,0.0,0.0,0,2383.87
18,0,Asian,1,1,63596.1,0.0,1,55612.5
18,1,White,0,1,69053.2,0.0,0,59064.82
18,1,White,0,0,0.0,10000.0,0,10939.56
27,1,Asian,0,1,91765.8,0.0,1,79065.87
22,0,White,1,0,0.0,0.0,0,2616.56
65,0,White,0,1,178985.7,10000.0,0,144414.85
44,1,White,0,0,0.0,0.0,0,2244.84
70,1,Hispanic,0,0,0.0,0.0,0,2466.15
18,1,Black,0,0,0.0,12000.0,1,13327.62
39,0,White,0,1,118282.1,0.0,0,91177.57
32,0,White,0,0,0.0,12000.0,0,11084.02
18,0,Black,0,1,62200.1,0.0,0,50539.77
19,1,Black,1,0,0.0,0.0,0,2294.88
39,1,Asian,0,1,115745.7,10000.0,0,97209.35
18,1,Hispanic,0,1,69869.8,0.0,0,56728.09
49,1,Hispanic,0,1,141194.7,0.0,0,109841.18
18,0,Asian,0,0,0.0,10000.0,0,11079.04
24,1,White,0,0,0.0,0.0,0,2399.34
61,0,Other,1,1,175583.1,1000.0,0,134734.27
30,0,Hispanic,1,1,96214.7,10000.0,1,71470.65
22,1,Asian,0,0,0.0,0.0,1,3056.32
18,0,Black,1,0,0.0,0.0,0,2252.27
18,1,Black,0,1,71519.3,0.0,0,56563.86
23,1,Asian,0,0,0.0,10000.0,0,11816.58
49,1,White,1,1,140098.3,0.0,0,108263.52
18,0,Other,0,1,67455.1,0.0,1,59375.51
33,1,Asian,0,0,0.0,10000.0,0,8202.28
23,0,White,1,0,0.0,12000.0,0,9986.01
18,1,Asian,0,1,72244.8,5000.0,0,57114.9
18,0,White,0,1,66557.6,0.0,0,55092.89
19,1,White,0,0,0.0,0.0,0,2526.29
65,0,White,0,1,178775.2,0.0,0,136651.37
56,0,White,0,1,164665.5,12000.0,0,119400.27
60,0,White,0,1,168369.8,10000.0,0,145483.0
18,0,Hispanic,0,0,0.0,10000.0,1,12592.93
30,1,Asian,1,1,146066.8,10000.0,0,119862.82
20,0,Hispanic,0,1,63434.1,0.0,0,50913.82
48,1,Other,1,1,142865.7,0.0,0,105376.35
18,0,Hispanic,1,1,62068.4,1000.0,0,54210.12
18,1,Asian,1,0,0.0,0.0,0,2504.23
69,0,Hispanic,0,0,0.0,12000.0,1,12474.33
46,0,Hispanic,1,1,138780.0,5000.0,0,109884.69
22,0,Hispanic,1,0,0.0,0.0,0,2609.15
35,1,White,1,1,107796.8,0.0,0,83604.06
26,1,White,0,0,0.0,10000.0,0,13250.82
18,0,Hispanic,0,1,65600.1,12000.0,0,54136.16
21,0,White,1,1,62369.5,0.0,0,47663.08
36,0,White,1,0,0.0,5000.0,0,5933.02
18,1,Black,0,0,0.0,0.0,0,2788.92
42,1,Hispanic,1,1,130764.5,0.0,1,97215.49
18,1,Asian,0,1,67646.5,5000.0,0,48958.21
41,1,Black,1,1,121505.6,10000.0,0,98391.98
18,1,Black,0,0,0.0,12000.0,0,14873.81
59,0,White,0,1,169776.4,12000.0,1,145648.03
18,1,Asian,0,0,0.0,10000.0,0,8603.45
18,0,Black,0,0,0.0,12000.0,0,8785.85
25,1,White,0,1,81433.5,10000.0,0,65357.2
28,1,Hispanic,0,1,85184.1,0.0,0,79153.73
22,0,Other,1,0,0.0,10000.0,0,11836.83
69,0,White,0,1,180631.8,0.0,0,131249.67
20,1,Black,0,1,64678.5,0.0,0,50165.74
18,1,Other,0,0,0.0,10000.0,0,10271.6
18,0,White,0,1,69282.3,10000.0,0,55499.78
34,1,White,1,0,0.0,10000.0,0,7390.43
30,0,White,0,1,96519.3,10000.0,0,86274.55
20,1,White,1,1,67080.3,0.0,0,59928.22
28,1,Hispanic,1,1,83672.0,10000.0,0,65443.74
18,1,White,0,0,0.0,0.0,0,2312.86
23,0,Hispanic,0,0,0.0,10000.0,0,10120.06
18,1,Other,0,0,0.0,1000.0,0,3212.17
51,1,Hispanic,0,1,147057.3,10000.0,0,123418.04
18,0,Black,1,1,65108.6,0.0,0,47860.2
53,1,Hispanic,0,1,155331.5,10000.0,0,123387.93
43,1,Hispanic,0,1,131663.6,0.0,0,112988.59
23,0,Hispanic,0,1,71243.6,0.0,0,52105.53
33,0,White,0,0,0.0,10000.0,0,13073.76
36,0,Other,0,1,109155.5,0.0,0,88947.37
38,1,White,0,1,113982.7,1000.0,0,87962.08
26,1,White,0,1,83916.1,10000.0,0,72416.67
18,1,White,1,1,70402.3,12000.0,0,61728.68
18,0,White,0,0,0.0,5000.0,0,4940.93
34,1,White,1,1,100177.5,0.0,0,76279.08
29,0,White,0,1,95823.3,0.0,0,72145.45
25,1,Hispanic,0,1,81142.8,0.0,0,65986.6
19,0,Black,1,0,0.0,0.0,0,2280.64
21,0,Other,0,0,0.0,0.0,0,2828.6
20,0,Hispanic,1,0,0.0,0.0,0,2518.41
38,1,Black,1,1,118483.5,0.0,0,98793.79
18,1,Black,0,0,0.0,12000.0,0,13997.98
33,1,Hispanic,1,0,0.0,10000.0,0,9116.96
18,1,White,0,0,0.0,12000.0,0,13914.63
18,0,White,0,0,0.0,0.0,0,2286.49
23,1,White,0,0,0.0,0.0,0,2800.7
29,0,Hispanic,1,1,86041.2,12000.0,1,65510.05
19,1,Black,0,0,0.0,0.0,0,2563.7
18,1,White,0,0,0.0,0.0,0,2280.53
18,1,Black,0,0,0.0,0.0,0,2534.81
18,0,White,0,0,0.0,10000.0,1,8796.02
18,1,Black,0,1,66397.9,12000.0,0,65077.48
18,0,White,0,1,61056.2,12000.0,1,54358.85
33,0,Black,0,1,150331.3,0.0,0,125969.73
18,0,Hispanic,1,0,0.0,0.0,0,2640.86
18,0,White,1,1,64618.0,12000.0,0,57549.84
31,1,Hispanic,0,1,100320.7,10000.0,1,85663.94
32,0,Hispanic,0,1,92696.2,10000.0,1,67391.33
37,1,White,0,1,117963.9,0.0,0,102338.15
18,0,Black,0,0,0.0,10000.0,0,7205.54
27,1,White,0,1,94831.1,10000.0,0,78130.02
26,0,White,0,1,77477.5,1000.0,0,61050.13
18,1,White,0,0,0.0,12000.0,0,11159.9
29,0,Other,1,0,0.0,10000.0,0,9551.57
18,0,Asian,1,1,67002.9,0.0,0,56763.54
21,0,White,0,0,0.0,0.0,0,2389.47
60,1,White,1,1,164919.7,12000.0,1,147949.7
44,0,Other,0,1,129297.9,10000.0,0,104153.81
27,0,Hispanic,1,0,0.0,0.0,1,3600.54
35,0,Hispanic,0,1,104036.5,5000.0,1,93348.75
51,1,Hispanic,0,1,204449.6,0.0,0,169401.17
18,1,Hispanic,1,0,0.0,10000.0,0,12045.12
49,0,White,0,1,142704.6,10000.0,0,107229.22
20,0,Asian,0,0,0.0,10000.0,1,10940.78
39,1,White,1,1,117768.5,0.0,0,95798.88
51,1,White,0,1,151734.0,0.0,0,118547.61
29,0,Hispanic,1,0,0.0,0.0,0,2628.44
69,1,White,1,1,195090.5,1000.0,0,160765.37
43,0,White,0,1,131689.8,12000.0,0,110335.6
18,1,Other,0,0,0.0,10000.0,0,12841.3
33,1,Black,1,1,102263.8,12000.0,0,78079.55
22,1,White,0,1,66530.8,0.0,1,48565.9
18,1,Hispanic,0,0,0.0,10000.0,0,8377.97
21,0,Black,0,1,69535.1,12000.0,0,55990.46
18,1,White,0,1,58670.7,12000.0,0,47812.12
43,1,White,0,1,129800.5,0.0,0,103762.38
18,1,Other,1,0,0.0,0.0,0,2653.39
18,1,Hispanic,1,0,0.0,0.0,1,2672.71
18,1,Hispanic,0,0,0.0,0.0,1,2757.47
18,1,White,1,1,67267.4,10000.0,0,55177.67
35,1,White,1,1,106973.4,0.0,1,104753.06
18,0,White,0,1,54771.0,0.0,1,48435.99
18,1,White,0,1,61121.6,0.0,0,41516.4
18,0,White,1,0,0.0,5000.0,0,5546.19
38,1,Black,1,1,112108.3,12000.0,1,85129.48
18,1,White,0,0,0.0,12000.0,0,13644.62
18,1,White,0,1,65541.3,12000.0,0,57876.11
18,0,Other,1,1,61091.2,0.0,1,55572.54
45,0,White,0,1,124916.1,12000.0,1,75706.13
18,1,Hispanic,1,0,0.0,12000.0,0,18433.14
18,0,Other,0,1,65475.3,12000.0,0,48146.63
55,1,White,1,1,213839.7,0.0,0,196856.08
28,0,White,1,1,84231.8,0.0,0,66115.31
21,1,White,0,0,0.0,10000.0,0,12171.08
18,1,Hispanic,0,0,0.0,0.0,0,2571.83
27,1,Hispanic,0,0,0.0,0.0,1,2823.65
18,1,Black,0,1,73419.1,0.0,0,55451.71
48,0,Black,0,0,0.0,10000.0,0,12423.86
18,0,White,0,0,0.0,12000.0,0,11457.73
18,1,Hispanic,0,0,0.0,0.0,0,2507.4
18,1,White,0,0,0.0,12000.0,1,12560.27
29,0,Hispanic,0,1,87217.2,10000.0,0,67770.42
24,1,White,0,0,0.0,5000.0,0,7300.2
24,0,White,0,1,73829.3,0.0,0,59559.62
33,0,White,0,0,0.0,0.0,0,2533.06
18,0,Hispanic,0,1,61139.8,12000.0,0,51987.12
37,0,White,0,1,111996.5,0.0,0,94435.22
18,0,Asian,1,0,0.0,0.0,1,3260.2
18,0,Black,0,1,61666.6,10000.0,1,41606.11
18,1,White,1,0,0.0,0.0,0,2163.13
70,0,Black,0,1,190328.8,5000.0,0,161767.32
27,0,Black,0,1,85338.1,0.0,0,66826.35
18,1,Black,0,0,0.0,0.0,0,2395.39
49,1,White,1,1,145865.9,0.0,0,122645.24
48,0,White,0,1,135553.6,0.0,0,99607.55
51,1,Asian,0,1,151694.5,0.0,0,123118.73
18,1,Hispanic,0,0,0.0,12000.0,0,10654.12
25,0,Black,0,0,0.0,0.0,0,2487.79
34,0,Black,1,0,0.0,0.0,0,2716.95
22,1,Hispanic,1,0,0.0,1000.0,0,3099.75
18,0,Hispanic,1,1,68299.9,0.0,0,57665.57
18,0,White,0,0,0.0,0.0,1,3386.81
18,1,Black,0,0,0.0,10000.0,0,12553.06
46,0,White,1,1,130721.6,12000.0,0,96489.81
18,0,White,0,1,66568.9,10000.0,0,53153.18
18,1,Hispanic,0,0,0.0,10000.0,0,12217.46
27,1,Hispanic,0,0,0.0,1000.0,0,3681.74
22,1,Asian,0,0,0.0,1000.0,1,3655.96
19,0,Asian,1,0,0.0,12000.0,0,13781.79
20,1,Hispanic,0,1,70434.8,10000.0,0,57246.01
25,1,White,0,1,82690.3,10000.0,1,56631.73
34,1,White,0,1,108627.4,0.0,0,86505.64
19,0,Asian,0,0,0.0,10000.0,0,7158.24
18,0,White,1,0,0.0,12000.0,0,12301.97
18,1,Hispanic,0,1,66126.6,0.0,0,47296.82
29,0,White,0,1,89495.2,10000.0,1,80066.27
25,1,Hispanic,0,1,81777.0,12000.0,0,69812.95
70,1,Hispanic,0,1,199760.6,1000.0,0,151215.78
33,1,White,0,1,103793.1,5000.0,1,75016.14
18,1,Black,0,0,0.0,0.0,0,2345.23
18,0,Hispanic,0,1,60324.3,0.0,0,47642.75
18,0,Asian,0,0,0.0,5000.0,0,7204.44
32,0,Asian,0,0,0.0,0.0,1,2516.85
18,1,Hispanic,0,1,62868.6,0.0,0,49624.59
18,1,White,1,0,0.0,12000.0,0,9419.64
18,1,Hispanic,0,1,74380.1,12000.0,0,64334.28
48,0,White,0,1,138519.7,10000.0,1,116504.56
29,0,Black,1,0,0.0,0.0,0,2329.1
18,1,Hispanic,0,0,0.0,12000.0,0,11924.18
70,1,Black,0,1,187572.9,0.0,0,141811.46
26,0,Black,0,1,72381.4,12000.0,0,56878.64
18,0,Asian,0,0,0.0,0.0,0,2540.99
31,0,White,0,0,0.0,0.0,1,2689.51
18,1,White,1,0,0.0,0.0,0,2612.97
18,0,Hispanic,0,0,0.0,0.0,0,2516.25
27,1,White,1,1,83310.6,0.0,0,54904.64
22,1,White,0,0,0.0,12000.0,0,12901.4
47,0,Hispanic,1,1,128692.2,0.0,0,103745.53
35,0,White,0,1,104597.8,0.0,0,86410.52
47,0,White,0,1,136037.3,0.0,1,118588.59
22,0,White,1,0,0.0,0.0,0,2226.32
18,1,White,0,0,0.0,0.0,0,3042.1
54,0,Hispanic,0,1,148349.6,0.0,0,122439.1
18,1,White,0,1,64546.0,10000.0,0,48323.65
18,0,Hispanic,0,0,0.0,10000.0,0,11254.57
18,0,White,0,0,0.0,0.0,0,2612.33
25,0,Asian,0,0,0.0,0.0,0,2591.91
