age,is_male,race,ownes_house,employment_status,employment_income,non_employment_income,treatment,expenditure
18,0,White,0,0,0.0,0.0,0,2993.03
22,0,White,1,1,71512.0,0.0,0,42829.0
18,1,White,1,1,58287.6,9000.0,1,45194.99
18,0,White,1,1,69786.9,0.0,0,51264.09
23,0,Other,0,1,69507.0,0.0,0,49103.26
68,1,White,0,1,232942.1,12000.0,0,168641.33
30,1,White,1,1,92158.8,12000.0,0,67339.59
18,1,Asian,0,1,62839.9,12000.0,0,40356.07
26,1,Black,0,1,85679.5,12000.0,0,54805.69
18,1,White,0,0,0.0,0.0,0,2453.04
18,1,White,1,1,58294.0,0.0,0,43589.66
48,0,White,1,1,137949.3,9000.0,0,97881.97
57,1,White,1,1,153204.9,0.0,1,101786.34
32,0,Other,0,1,96622.8,0.0,1,62094.55
70,1,Hispanic,1,1,178314.7,0.0,0,115153.17
18,1,White,0,1,59934.6,12000.0,1,39880.75
25,0,White,1,1,78179.2,9000.0,0,58798.96
56,1,White,1,1,150290.7,0.0,0,101969.64
18,1,Asian,0,0,0.0,1000.0,0,3443.81
58,0,Other,0,1,161324.5,9000.0,0,138625.91
18,1,Black,0,0,0.0,12000.0,1,11750.72
70,1,Black,1,1,189554.5,0.0,0,139520.28
21,0,Other,0,0,0.0,0.0,0,2436.2
18,1,White,0,0,0.0,0.0,0,2568.11
58,1,White,0,1,154665.2,0.0,0,112197.24
18,1,Hispanic,0,0,0.0,12000.0,0,12373.88
30,0,Asian,0,0,0.0,0.0,0,2300.35
28,1,White,0,1,88431.2,0.0,0,55990.81
38,0,Asian,0,0,0.0,0.0,0,2507.47
18,1,Hispanic,1,0,0.0,9000.0,1,9852.28
18,0,White,1,0,0.0,12000.0,0,12985.24
50,0,Black,0,1,148859.2,9000.0,0,110777.25
32,1,White,1,1,94640.1,0.0,0,72652.05
25,0,Asian,1,0,0.0,9000.0,1,8854.14
67,0,Other,0,1,184393.2,12000.0,0,135184.14
21,1,Hispanic,1,1,75854.9,0.0,0,47497.84
32,0,White,0,0,0.0,12000.0,1,15467.83
34,0,Asian,0,1,101550.4,9000.0,1,80699.66
24,0,Hispanic,0,1,67496.6,0.0,0,43578.27
18,1,Asian,0,1,58017.6,0.0,0,39874.24
35,0,Other,0,1,96681.9,12000.0,1,83248.21
52,1,White,0,1,140931.1,12000.0,0,104565.77
28,0,White,1,1,86999.2,0.0,1,73873.46
18,0,White,0,1,66974.8,0.0,1,61445.32
