age,is_male,race,ownes_house,employment_status,employment_income,non_employment_income
18,0,White,0,0,0.0,0.0
22,0,White,1,1,71512.0,0.0
18,1,White,1,1,58287.6,9000.0
18,0,White,1,1,69786.9,0.0
23,0,Other,0,1,69507.0,0.0
68,1,White,0,1,232942.1,12000.0
30,1,White,1,1,92158.8,12000.0
18,1,Asian,0,1,62839.9,12000.0
26,1,Black,0,1,85679.5,12000.0
18,1,White,0,0,0.0,0.0
18,1,White,1,1,58294.0,0.0
48,0,White,1,1,137949.3,9000.0
57,1,White,1,1,153204.9,0.0
32,0,Other,0,1,96622.8,0.0
70,1,Hispanic,1,1,178314.7,0.0
18,1,White,0,1,59934.6,12000.0
25,0,White,1,1,78179.2,9000.0
56,1,White,1,1,150290.7,0.0
18,1,Asian,0,0,0.0,1000.0
58,0,Other,0,1,161324.5,9000.0
18,1,Black,0,0,0.0,12000.0
70,1,Black,1,1,189554.5,0.0
21,0,Other,0,0,0.0,0.0
18,1,White,0,0,0.0,0.0
58,1,White,0,1,154665.2,0.0
18,1,Hispanic,0,0,0.0,12000.0
30,0,Asian,0,0,0.0,0.0
28,1,White,0,1,88431.2,0.0
38,0,Asian,0,0,0.0,0.0
18,1,Hispanic,1,0,0.0,9000.0
18,0,White,1,0,0.0,12000.0
50,0,Black,0,1,148859.2,9000.0
32,1,White,1,1,94640.1,0.0
25,0,Asian,1,0,0.0,9000.0
67,0,Other,0,1,184393.2,12000.0
21,1,Hispanic,1,1,75854.9,0.0
32,0,White,0,0,0.0,12000.0
34,0,Asian,0,1,101550.4,9000.0
24,0,Hispanic,0,1,67496.6,0.0
18,1,Asian,0,1,58017.6,0.0
35,0,Other,0,1,96681.9,12000.0
52,1,White,0,1,140931.1,12000.0
28,0,White,1,1,86999.2,0.0
18,0,White,0,1,66974.8,0.0
48,1,Hispanic,0,1,131919.0,1000.0
18,0,Asian,0,1,65134.3,1000.0
70,0,Black,0,1,184801.8,12000.0
25,1,White,0,1,78130.5,0.0
18,0,Other,1,0,0.0,0.0
30,1,White,0,0,0.0,0.0
18,1,Asian,0,1,61287.5,0.0
32,0,Asian,0,1,106373.0,0.0
22,1,White,0,1,70466.6,0.0
36,1,Hispanic,1,1,106684.2,9000.0
43,1,White,0,1,116215.0,9000.0
31,1,Black,1,1,88745.3,9000.0
18,1,White,0,0,0.0,0.0
50,0,White,1,1,141371.4,12000.0
47,1,Black,0,1,129412.4,1000.0
18,1,White,1,1,64601.1,0.0
20,0,Asian,0,0,0.0,0.0
34,1,White,0,1,98874.2,12000.0
42,0,White,1,1,118039.9,0.0
22,0,Asian,0,0,0.0,9000.0
22,0,Black,0,1,70556.9,12000.0
27,1,White,0,1,78072.5,0.0
66,1,Other,0,1,181359.5,0.0
18,0,White,0,0,0.0,12000.0
18,1,Asian,1,1,65521.1,0.0
45,1,White,0,1,130912.9,12000.0
28,1,White,0,1,86926.2,0.0
18,0,Asian,0,0,0.0,5000.0
37,1,Black,0,0,0.0,0.0
18,0,White,1,0,0.0,0.0
53,1,Black,1,1,137165.0,5000.0
19,0,Hispanic,0,1,62549.9,0.0
49,1,White,0,1,136950.0,0.0
29,1,Black,0,1,92846.1,12000.0
25,0,Hispanic,0,1,76658.0,5000.0
18,1,Black,0,1,59980.9,9000.0
18,1,White,1,1,64719.5,9000.0
18,1,Asian,0,0,0.0,0.0
18,1,White,0,0,0.0,0.0
42,0,Hispanic,1,1,117854.7,0.0
41,0,White,0,1,117126.5,0.0
30,0,White,0,1,96182.2,0.0
18,1,White,1,1,64320.3,0.0
18,1,White,0,1,72730.6,9000.0
27,1,White,1,0,0.0,0.0
45,0,White,0,1,125337.2,0.0
45,1,Other,0,1,124902.1,9000.0
39,1,Black,0,1,111065.3,0.0
69,0,White,0,1,190949.6,0.0
18,0,Asian,0,1,62258.6,0.0
19,1,White,0,0,0.0,0.0
18,1,White,0,1,60593.2,0.0
49,1,White,1,1,141982.8,0.0
54,0,White,0,1,204532.6,9000.0
27,1,Hispanic,0,1,89183.9,9000.0
44,1,Asian,0,0,0.0,12000.0
70,0,Asian,1,1,187508.4,0.0
22,1,Black,1,0,0.0,0.0
26,1,White,1,1,74118.8,1000.0
23,0,White,0,1,71920.9,0.0
18,0,White,0,0,0.0,0.0
56,0,Asian,0,1,152436.3,5000.0
18,0,Black,0,1,61654.1,12000.0
34,1,White,0,1,108379.8,12000.0
19,1,Black,0,1,70113.8,9000.0
18,1,Hispanic,0,1,67615.8,12000.0
70,1,White,1,1,195490.1,0.0
21,0,Black,0,0,0.0,0.0
18,1,Black,1,1,63012.5,1000.0
34,0,Other,0,0,0.0,0.0
18,1,Hispanic,1,0,0.0,9000.0
40,1,Black,1,1,115130.2,9000.0
32,1,Asian,1,1,92658.6,5000.0
35,0,Hispanic,0,1,100200.8,9000.0
18,0,White,0,0,0.0,9000.0
70,1,Asian,0,1,187934.1,0.0
29,1,Asian,1,1,80055.1,9000.0
18,1,White,0,0,0.0,0.0
31,1,White,0,0,0.0,0.0
18,1,Black,0,1,59160.8,0.0
24,0,White,0,0,0.0,0.0
18,1,Other,0,1,63400.9,12000.0
18,0,Asian,1,1,62174.6,0.0
48,0,White,1,1,138063.5,0.0
29,1,Asian,0,1,95715.2,12000.0
18,0,Black,0,1,64096.8,9000.0
20,1,White,1,1,64870.2,0.0
51,0,Asian,1,0,0.0,0.0
33,0,Other,1,0,0.0,0.0
18,0,White,0,0,0.0,0.0
27,1,Asian,0,1,80292.8,0.0
18,1,Black,0,1,66359.9,12000.0
18,1,Hispanic,0,0,0.0,0.0
18,1,White,1,0,0.0,9000.0
18,0,Black,0,1,57496.9,12000.0
18,0,Asian,0,1,57969.3,0.0
70,0,Other,0,1,185685.7,12000.0
18,1,Black,0,1,61155.3,0.0
19,0,Black,0,1,64815.1,12000.0
46,0,Asian,1,1,126897.2,12000.0
29,1,Black,0,0,0.0,12000.0
20,0,Black,1,0,0.0,9000.0
59,1,Asian,0,1,157143.6,0.0
18,1,Hispanic,0,0,0.0,0.0
25,0,Hispanic,0,1,78760.3,0.0
51,1,Black,0,1,147836.4,5000.0
18,1,White,0,1,59371.6,12000.0
51,1,White,0,1,198992.9,9000.0
25,1,Asian,1,0,0.0,0.0
18,0,Black,1,0,0.0,0.0
70,0,White,1,1,185731.3,0.0
31,0,Black,0,0,0.0,0.0
28,1,Hispanic,1,0,0.0,12000.0
42,0,White,0,0,0.0,9000.0
18,1,Black,1,0,0.0,9000.0
50,0,White,1,1,140868.1,9000.0
18,0,Hispanic,1,0,0.0,12000.0
27,0,White,0,1,84455.8,1000.0
18,0,White,0,1,68443.5,12000.0
19,0,White,1,0,0.0,1000.0
18,0,Black,0,0,0.0,0.0
18,1,White,1,0,0.0,12000.0
